rainfall_1h,rainfall_24h,wind_speed,road_condition_score,traffic_level,incident_count,incident_severity,route_health_score,elevation,slope,historical_disruptions,distance_to_incident,disruption
1.31,28.73,22.46,21.9,3,1,2,5.2,1338.9,26.8,1,35.2,0
3.09,50.77,16.62,36.6,2,0,0,17.5,2072.7,33.3,2,999.0,0
1.61,24.95,3.06,78.5,2,3,1,5.0,1339.5,30.7,1,5.7,0
1.51,11.52,12.49,35.1,5,0,0,34.6,971.9,14.5,3,999.0,1
0.17,10.9,3.47,26.0,3,2,1,5.0,351.8,29.9,4,6.7,1
4.23,21.23,7.1,55.6,3,2,4,5.0,1498.2,11.4,2,39.7,1
3.14,23.11,11.16,20.7,2,1,1,5.0,814.6,13.8,3,33.9,1
0.24,9.73,10.23,26.4,1,1,3,5.0,1656.6,5.9,4,34.2,1
1.47,5.73,16.42,80.6,1,1,1,43.5,2544.1,35.7,1,29.5,0
10.75,85.29,22.52,77.9,3,1,4,5.0,422.7,12.5,2,23.1,1
1.23,9.03,11.89,88.6,3,1,4,18.3,669.7,20.7,3,7.2,0
0.7,28.43,6.72,84.1,3,1,3,18.9,1309.1,16.1,4,15.2,0
3.03,64.3,1.58,71.2,4,4,3,5.0,2523.1,36.6,5,6.6,1
19.1,104.89,18.98,23.9,1,1,1,5.0,2040.9,14.1,3,32.8,0
1.25,55.74,8.15,78.7,2,1,4,5.0,2350.7,30.0,0,7.6,1
5.02,48.74,8.45,83.4,2,2,4,5.0,967.6,32.8,2,31.7,1
6.45,38.3,8.91,79.9,2,0,0,41.6,2580.5,17.7,2,999.0,1
1.22,6.55,11.55,58.1,1,0,0,45.0,401.9,15.6,1,999.0,0
5.86,45.37,11.76,37.5,5,0,0,15.5,279.8,28.9,2,999.0,1
2.06,39.34,7.18,83.4,2,1,4,20.8,2246.2,34.9,1,14.5,1
4.5,36.67,8.1,74.5,4,2,3,5.0,2421.8,29.2,2,14.7,1
4.52,28.4,5.58,93.6,2,0,0,52.0,371.9,10.2,4,999.0,0
3.45,22.4,5.13,31.7,5,1,2,5.0,427.9,34.0,3,5.6,1
0.43,10.57,5.11,36.9,3,1,4,7.0,231.3,16.0,1,37.4,1
8.12,34.94,8.03,35.9,4,0,0,19.0,406.0,22.7,3,999.0,0
1.74,15.42,4.39,79.4,1,1,2,37.0,663.1,31.9,3,8.8,1
0.93,11.96,0.35,34.0,3,2,2,5.0,2526.7,8.8,4,32.5,1
0.19,25.14,6.64,25.0,4,0,0,25.8,1786.3,30.2,3,999.0,1
4.02,56.57,3.23,94.9,1,1,1,22.8,2057.5,23.5,1,33.8,0
5.09,47.81,9.33,21.9,1,1,4,5.0,2051.5,34.2,2,8.9,1
0.08,35.78,5.56,82.6,2,0,0,42.8,1460.9,8.2,2,999.0,1
3.23,29.3,11.64,47.4,4,0,0,38.9,2103.8,17.1,2,999.0,0
1.16,16.02,3.49,83.1,3,4,1,5.0,1609.7,32.0,3,16.8,1
4.66,23.59,1.9,61.6,3,0,0,40.1,920.6,2.7,2,999.0,1
0.86,21.69,8.11,87.6,1,0,0,50.1,1524.7,6.0,0,999.0,0
5.28,85.55,6.44,89.5,1,0,0,29.7,1457.1,37.7,1,999.0,0
2.2,26.14,2.99,20.7,4,1,1,7.2,2167.5,12.1,1,3.1,0
12.42,66.22,14.09,25.7,1,1,2,5.0,2555.2,37.1,1,1.0,1
0.67,19.63,4.0,38.8,3,1,3,7.6,1157.1,8.6,1,31.6,0
1.88,9.13,4.95,70.2,4,0,0,39.9,2020.3,15.0,4,999.0,0
0.54,35.61,15.77,86.6,2,2,3,11.6,394.4,29.1,2,15.4,0
11.64,101.81,12.07,54.5,3,0,0,26.5,2053.2,25.7,1,999.0,1
9.44,49.46,3.66,65.5,1,0,0,32.4,1060.0,22.9,3,999.0,1
1.34,21.66,6.86,34.1,3,0,0,38.3,246.5,21.1,1,999.0,0
4.85,37.16,3.36,80.4,2,0,0,43.7,1040.0,32.4,0,999.0,1
7.65,53.64,15.07,92.5,3,2,1,8.7,1646.1,10.5,1,28.7,0
3.65,30.54,15.06,40.1,2,3,1,5.0,442.2,17.9,2,37.6,0
3.39,30.8,24.52,57.1,2,0,0,41.7,2413.9,7.6,3,999.0,1
1.25,25.34,30.24,26.5,3,2,3,5.0,340.3,23.5,2,41.9,1
0.44,27.77,5.52,61.9,2,2,4,5.0,2428.5,11.0,1,24.1,1
10.24,58.92,13.58,57.7,3,3,3,5.0,1882.5,14.0,1,41.6,1
10.38,52.01,1.64,30.8,2,0,0,18.3,957.8,19.0,1,999.0,0
4.51,36.28,9.8,53.2,3,1,2,12.0,1107.3,3.0,2,27.4,0
1.86,11.04,11.42,45.1,2,0,0,38.2,1965.0,5.3,2,999.0,0
1.93,36.21,4.18,59.1,3,2,4,5.0,1623.6,26.7,3,35.0,1
5.83,34.77,5.26,63.9,1,0,0,36.2,1795.5,17.4,3,999.0,1
10.23,53.72,15.12,20.6,2,1,2,5.0,1103.5,33.1,0,22.5,0
9.82,64.75,11.6,77.1,2,0,0,30.6,1345.1,27.0,2,999.0,0
6.81,46.66,22.66,73.5,3,0,0,45.5,2575.2,2.3,2,999.0,0
4.62,32.63,21.08,47.5,2,1,2,5.0,674.1,24.2,2,10.3,0
0.4,2.36,2.11,24.0,4,2,2,5.0,1173.7,5.4,2,27.6,0
0.79,23.24,5.93,76.6,4,1,2,22.3,865.0,30.1,2,28.3,1
10.3,74.54,3.84,91.6,2,2,3,5.0,2024.5,37.7,1,20.0,0
4.2,26.52,13.94,38.0,3,0,0,26.7,2021.8,21.1,0,999.0,0
0.04,10.96,10.45,44.3,1,1,2,7.6,866.5,26.6,1,43.2,1
0.48,4.2,4.05,33.8,2,0,0,25.2,349.4,10.5,7,999.0,0
4.9,39.3,4.58,63.3,3,0,0,31.4,178.0,17.8,2,999.0,1
0.02,18.55,18.3,31.6,3,1,2,5.0,1197.3,32.8,4,9.9,1
0.79,6.76,6.43,46.7,3,1,2,16.1,1155.3,8.0,2,43.9,0
3.58,41.85,1.37,72.3,2,1,1,27.0,2571.6,11.6,1,32.8,0
5.3,18.92,3.77,62.0,2,1,2,16.0,1301.0,18.0,2,41.2,0
4.75,24.91,25.5,49.0,1,1,1,12.2,778.2,27.6,2,14.0,1
1.14,24.01,16.05,51.5,3,0,0,28.8,2333.5,15.5,0,999.0,0
5.6,37.4,3.18,62.2,3,0,0,39.2,1353.1,35.4,2,999.0,0
1.22,10.98,9.8,20.4,3,1,1,14.8,1618.0,5.4,1,13.6,0
1.77,12.36,15.44,25.9,2,0,0,34.3,384.4,15.3,4,999.0,1
6.18,27.03,2.09,86.1,2,0,0,54.2,1088.1,27.5,2,999.0,0
4.72,52.57,16.51,25.8,2,0,0,19.0,2463.3,10.1,1,999.0,1
8.51,70.93,11.53,73.0,1,1,3,10.1,1594.3,25.6,2,37.3,1
4.82,45.43,5.03,89.0,2,0,0,48.1,994.0,7.9,3,999.0,0
3.78,54.29,12.73,40.3,4,1,3,5.0,1682.9,4.0,2,38.4,0
0.44,9.95,10.54,47.8,4,1,3,6.9,2380.5,6.4,1,36.3,0
2.06,43.83,11.02,62.7,3,0,0,28.2,821.3,35.5,1,999.0,0
1.39,18.11,9.57,86.1,2,1,2,25.9,1387.5,21.9,3,17.5,0
1.26,59.75,4.45,90.6,1,1,4,6.8,2498.8,30.7,3,37.5,1
16.26,50.57,5.11,75.5,4,1,4,5.0,572.4,14.0,4,22.3,1
2.25,34.86,7.34,26.5,1,1,3,5.0,1913.2,23.3,0,11.5,1
10.02,72.28,8.94,70.2,4,0,0,30.3,1655.5,19.8,3,999.0,1
4.49,40.3,13.2,50.8,2,1,3,6.7,1815.2,36.0,3,6.8,1
7.13,52.61,25.86,55.3,2,0,0,26.9,1010.5,28.9,1,999.0,1
3.14,35.79,10.1,23.7,4,3,2,5.0,919.0,28.3,4,15.4,1
3.87,21.14,13.06,34.3,1,2,4,5.0,1826.3,3.7,0,12.1,1
3.05,22.07,14.96,79.3,3,1,2,21.3,678.1,21.8,1,43.1,1
0.98,22.34,13.64,54.0,3,0,0,40.3,1178.2,18.8,3,999.0,0
5.77,34.63,4.31,42.6,2,0,0,28.8,611.0,35.4,2,999.0,1
1.48,57.47,19.35,48.8,2,0,0,29.4,170.3,11.3,2,999.0,0
0.11,22.19,17.54,84.1,3,0,0,52.1,2526.6,11.7,1,999.0,1
4.67,63.88,9.48,76.2,3,0,0,33.4,1207.7,16.8,4,999.0,0
0.88,23.77,4.52,40.4,1,1,1,23.8,2524.9,10.8,2,27.1,0
12.69,104.96,8.84,28.8,4,0,0,5.0,493.8,6.7,2,999.0,0
13.85,49.72,2.34,38.9,2,3,2,5.0,1589.0,32.9,1,9.0,1
11.09,93.38,20.87,89.1,2,0,0,30.1,642.4,22.1,4,999.0,0
2.08,26.36,5.47,63.6,2,3,1,5.0,2085.7,33.0,5,18.4,1
0.07,1.26,7.08,60.0,1,2,4,5.0,2070.1,31.9,2,24.0,0
11.86,52.78,19.99,64.7,1,1,2,10.3,425.9,12.2,2,6.0,0
2.52,63.38,18.57,47.5,5,1,2,5.0,2384.6,21.7,0,24.5,0
15.3,120.45,10.81,80.5,2,0,0,20.2,626.8,5.0,3,999.0,1
14.91,123.67,22.76,59.2,1,1,3,5.0,1651.8,34.9,3,44.9,1
8.63,64.54,4.21,28.8,1,0,0,16.2,2564.8,16.6,7,999.0,0
1.57,12.12,10.82,29.7,3,0,0,31.9,2311.9,16.2,6,999.0,0
2.19,20.22,4.23,60.3,4,1,2,8.4,2493.6,12.9,3,16.0,0
8.57,69.88,16.9,90.2,2,0,0,36.0,989.4,18.6,4,999.0,1
1.72,10.85,16.54,43.1,1,1,1,20.2,408.7,11.1,2,20.8,0
0.84,24.52,23.72,85.2,2,0,0,53.0,611.4,15.5,3,999.0,0
3.66,36.11,8.66,77.3,1,0,0,50.0,1376.2,30.8,3,999.0,1
12.38,105.73,27.66,38.6,1,0,0,5.0,2093.4,32.0,2,999.0,1
5.36,62.69,3.96,22.7,2,0,0,13.4,517.9,13.0,2,999.0,1
3.8,19.07,8.35,27.6,2,0,0,26.8,1766.3,18.9,2,999.0,0
0.46,18.96,4.07,74.6,3,0,0,43.0,942.8,33.5,3,999.0,0
4.3,30.93,9.87,35.0,2,0,0,15.2,985.9,3.9,2,999.0,1
20.75,161.62,4.36,47.8,4,2,3,5.0,1771.7,34.0,0,8.4,1
0.68,6.04,16.93,57.6,4,0,0,45.0,1294.1,9.9,5,999.0,0
3.29,37.66,11.78,74.4,3,1,3,9.1,2139.5,26.4,2,28.0,0
9.44,89.56,3.7,28.5,2,0,0,5.0,532.0,23.0,2,999.0,1
6.08,24.94,14.57,50.5,2,2,2,5.0,2085.4,21.9,0,5.5,1
5.37,44.58,21.8,56.4,2,0,0,30.7,307.4,32.9,4,999.0,1
5.46,43.28,12.51,60.6,3,0,0,37.1,625.4,5.7,1,999.0,0
2.0,34.87,2.86,81.4,2,1,3,25.5,1757.6,14.5,3,6.8,0
1.56,16.5,7.82,32.9,4,0,0,19.1,2244.6,21.4,4,999.0,0
7.46,59.05,13.52,80.6,4,1,1,17.1,769.1,31.2,1,16.4,0
7.48,57.57,7.31,72.0,2,0,0,34.1,951.6,9.8,1,999.0,1
9.08,85.87,3.92,61.7,3,4,1,5.0,1465.9,30.9,1,31.9,1
11.0,58.56,18.11,72.5,1,0,0,26.9,668.4,16.4,2,999.0,0
3.22,48.07,7.1,50.9,2,0,0,38.2,2137.3,8.8,1,999.0,1
3.13,24.94,21.81,30.4,2,1,1,8.9,2045.4,29.3,3,21.2,1
7.2,57.59,5.95,69.9,2,0,0,33.7,506.0,5.3,4,999.0,0
4.72,33.07,6.81,59.4,4,2,2,5.0,1286.4,20.5,2,38.9,1
5.45,39.85,5.62,68.0,2,0,0,36.4,2048.3,4.3,4,999.0,0
7.15,47.9,7.73,45.3,2,1,3,5.0,976.5,14.8,2,12.0,0
9.93,75.09,11.65,88.0,3,0,0,31.7,1701.1,23.6,4,999.0,1
1.86,33.76,4.08,64.1,3,2,3,5.0,273.0,22.0,3,16.5,1
2.12,12.35,3.5,26.4,2,1,2,5.0,1641.3,16.6,1,38.2,1
0.44,8.49,2.04,53.7,4,0,0,37.8,524.0,17.4,3,999.0,1
3.89,24.13,1.81,76.7,3,0,0,60.2,2184.9,10.2,2,999.0,1
0.16,1.09,2.89,79.6,2,0,0,57.6,1020.9,18.4,4,999.0,1
2.82,16.04,5.92,57.1,1,3,2,5.0,839.8,36.3,2,17.7,1
3.52,30.81,9.76,87.1,2,0,0,55.6,2210.2,32.6,2,999.0,1
1.52,17.69,11.24,40.1,4,0,0,25.6,272.9,7.2,2,999.0,0
4.02,28.86,9.46,50.8,3,0,0,43.0,1121.7,3.1,4,999.0,0
0.14,11.94,20.32,87.4,4,0,0,43.2,1056.5,35.6,4,999.0,0
0.17,14.4,24.26,87.2,2,1,3,21.1,847.8,21.0,2,37.2,1
7.78,32.34,7.12,71.4,1,3,1,5.0,2383.8,21.4,1,31.6,1
2.01,16.12,4.14,84.4,1,1,1,38.1,1989.8,30.1,1,43.5,0
0.61,53.34,28.69,26.7,2,2,4,5.0,306.6,13.3,2,36.6,1
3.32,32.06,17.74,84.9,3,1,3,17.7,1901.0,19.3,2,3.9,1
6.61,57.3,16.94,44.0,3,0,0,22.6,1441.9,36.9,2,999.0,0
1.09,11.42,5.75,33.4,2,0,0,26.7,2357.1,26.2,2,999.0,1
4.39,43.81,14.79,38.0,2,1,4,5.0,916.7,7.5,2,1.2,1
0.4,25.17,9.51,51.3,2,3,2,5.0,1556.7,6.8,2,11.7,0
0.24,12.39,8.24,38.8,2,2,3,5.0,1376.9,9.4,2,41.5,0
3.41,74.36,8.23,44.0,2,0,0,25.4,1349.4,29.6,2,999.0,1
3.5,12.96,12.0,30.1,1,0,0,25.7,1267.5,12.6,6,999.0,1
4.57,21.74,20.72,42.2,2,0,0,35.9,653.8,2.8,2,999.0,0
5.83,50.62,30.1,62.9,1,3,1,5.0,2001.5,36.0,1,36.4,0
16.76,108.37,6.5,53.1,2,2,2,5.0,1255.8,8.1,3,1.0,1
3.27,21.21,9.87,46.0,1,1,2,15.4,2498.4,2.3,2,13.3,0
1.76,14.58,8.1,76.0,3,0,0,50.9,789.0,10.5,4,999.0,0
7.14,43.36,11.5,87.0,2,1,2,20.5,1822.7,10.5,3,4.7,1
1.42,14.91,7.42,76.8,5,0,0,54.9,2454.8,17.2,2,999.0,0
2.6,40.63,5.27,44.9,2,0,0,31.3,1775.5,35.1,2,999.0,0
0.37,13.37,6.5,75.8,2,1,1,28.7,2284.6,33.7,0,38.2,1
0.12,7.32,5.81,31.4,2,0,0,25.3,2177.3,18.4,6,999.0,0
14.79,52.7,7.83,29.8,1,0,0,16.1,1032.3,16.8,3,999.0,1
8.13,32.39,3.07,45.9,4,2,2,5.0,1620.3,22.0,4,41.8,0
5.36,21.62,5.9,80.6,1,1,1,37.5,532.8,10.8,0,22.8,0
2.37,30.36,11.42,38.5,4,0,0,22.6,1462.0,3.9,0,999.0,1
0.86,61.27,11.37,24.7,4,1,3,5.0,714.5,35.8,2,20.7,1
0.77,31.39,10.24,29.9,3,0,0,30.4,1972.2,8.7,0,999.0,0
1.3,10.25,19.64,84.4,3,1,2,25.2,1443.7,9.1,4,41.3,1
3.59,46.16,11.71,67.5,3,2,1,9.1,1157.5,19.0,4,17.8,1
5.64,66.22,19.26,39.0,2,1,1,5.0,808.6,19.7,2,22.9,1
4.86,45.85,30.11,61.6,3,1,1,24.1,2596.8,2.7,2,15.1,0
1.48,14.37,15.03,59.6,1,0,0,38.6,325.7,7.3,3,999.0,0
